"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","102","102","1","0.000000","0","102"
"/Game/ParagonTerra/Characters/Global/Hair/Materials/M_HairSheet_Master2.M_HairSheet_Master2","0","180","192","2","862.214539","180","384"
"/InterchangeAssets/gltf/M_Default.M_Default","0","0","268","6","0.000000","0","0"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","0","0","268","6","0.000000","0","0"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","0","0","84","2","0.000000","0","0"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","0","0","252","6","0.000000","0","0"
"/InterchangeAssets/gltf/M_SpecularGlossiness.M_SpecularGlossiness","0","0","252","6","0.000000","0","0"
"/Game/Abandoned_Cathedral/Master_Material/M_Master.M_Master","0","0","132","2","0.000000","0","990"
"/Game/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin","0","0","56","2","0.000000","0","28"
"/Game/Abandoned_Cathedral/Foliage/M_Foliage_vertex_paint.M_Foliage_vertex_paint","0","80","252","3","130.106522","0","84"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","0","84","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","0","58","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","54","6","0.000000","0","5"
"/Engine/EditorLandscapeResources/LandscapeLayerUsageMaterial.LandscapeLayerUsageMaterial","0","0","2","1","0.000000","0","0"
"/Game/ParagonGreystone/FX/Materials/Heroes/Greystone/Abilities/M_Greystone_Wisp_SplineThicken_Claw.M_Greystone_Wisp_SplineThicken_Claw","0","0","22","1","0.000000","0","0"
"/Game/ParagonGreystone/FX/Materials/Heroes/M_Radial_Blur_Refraction.M_Radial_Blur_Refraction","0","0","21","1","0.000000","0","0"
"/Game/ParagonGreystone/FX/Materials/Heroes/M_Wisp_SplineThicken_Small.M_Wisp_SplineThicken_Small","0","0","22","1","0.000000","0","0"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","0","0","108","6","0.000000","0","0"
"/Game/Abandoned_Cathedral/Master_Material/M_Candle_Fire.M_Candle_Fire","0","0","11","1","0.000000","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","0","46","2","0.000000","0","0"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","0","0","14","1","0.000000","0","0"
"/Engine/EditorLandscapeResources/MaskBrushMaterial.MaskBrushMaterial","0","0","5","1","0.000000","0","5"
"/Game/Movies/MP_HeavyAttack_Video_Mat.MP_HeavyAttack_Video_Mat","0","0","12","1","0.000000","0","0"
"/Game/Movies/MP_LightAttack_Video_Mat.MP_LightAttack_Video_Mat","0","0","12","1","0.000000","0","0"
"/Game/Movies/MP_LocOnSplash_Video_Mat.MP_LocOnSplash_Video_Mat","0","0","12","1","0.000000","0","0"
"/Game/Movies/MP_GuardVideo_Video_Mat.MP_GuardVideo_Video_Mat","0","0","12","1","0.000000","0","0"
"/Game/Movies/MP_Interact_Video_Mat.MP_Interact_Video_Mat","0","0","12","1","0.000000","0","0"
"/Game/Movies/MP_MovmentVid_Video_Mat.MP_MovmentVid_Video_Mat","0","0","12","1","0.000000","0","0"
"/Game/Movies/MP_RollSplashMaterial.MP_RollSplashMaterial","0","0","12","1","0.000000","0","0"
"/Engine/EditorLandscapeResources/SelectBrushMaterial.SelectBrushMaterial","0","0","10","2","0.000000","0","0"
