"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/Abandoned_Cathedral/Foliage/M_Foliage_vertex_paint.M_Foliage_vertex_paint","0","0","168","2","0.000000","0","0"
"/Game/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin","0","0","56","2","0.000000","0","28"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","0","0","268","6","0.000000","0","0"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","0","0","252","6","0.000000","0","0"
"/InterchangeAssets/gltf/M_Default.M_Default","0","0","268","6","0.000000","0","0"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","0","0","108","6","0.000000","0","0"
"/InterchangeAssets/gltf/M_SpecularGlossiness.M_SpecularGlossiness","0","0","252","6","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","0","84","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","0","58","1","0.000000","0","0"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","0","0","84","2","0.000000","0","0"
"/Game/Abandoned_Cathedral/Master_Material/M_Master.M_Master","0","0","132","2","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","54","6","0.000000","0","5"
"/Engine/EditorLandscapeResources/LandscapeLayerUsageMaterial.LandscapeLayerUsageMaterial","0","0","2","1","0.000000","0","0"
"/Game/ParagonGreystone/FX/Materials/Heroes/Greystone/Abilities/M_Greystone_Wisp_SplineThicken_Claw.M_Greystone_Wisp_SplineThicken_Claw","0","0","22","1","0.000000","0","0"
"/Game/ParagonGreystone/FX/Materials/Heroes/M_Wisp_SplineThicken_Small.M_Wisp_SplineThicken_Small","0","0","22","1","0.000000","0","0"
"/Game/ParagonGreystone/FX/Materials/Heroes/M_Radial_Blur_Refraction.M_Radial_Blur_Refraction","0","0","21","1","0.000000","0","0"
"/Game/Abandoned_Cathedral/Master_Material/M_Candle_Fire.M_Candle_Fire","0","0","11","1","0.000000","0","0"
"/Engine/EditorLandscapeResources/MaskBrushMaterial.MaskBrushMaterial","0","0","5","1","0.000000","0","5"
